web-scraper-order|web-scraper-start-url|subcomponent|subcomponent-href|subcomponentlink|subcomponentlink-href|itemlink|itemlink-href|product_name|price|description|highlights
"1521171142-215"|"https://www.abcycling.com/mountain_bike_components.html"|"Saddles"|"https://www.abcycling.com/Mountain_Bike_Saddles/catpage-MTBCOMPSAD.html"|""|""|"Specialized Toupe Expert Gel Saddle"|"https://www.abcycling.com/Specialized_Toupe_Expert_Gel_Saddle/descpage-SPTPXG7.html"|"Specialized Toupe Expert Gel Saddle"|"129.99"|"Specialized's Toupé is a saddle with such a revolutionary and effective design that it's been copied and riffed-on by dozens of other manufacturers over the years. Though the Toupé-style saddle has been done well by a few other companies| there's still no beating the original. The Toupé Expert Gel is proof that Specialized is dedicated to staying on the cutting edge. This saddle retains the flat cross-section that made the Toupé so popular| and augments it with a cutting-edge Adaptive Edge base| which allows it to conform to the rider's body for a tailored-feeling fit. The straight profile and minimal padding are perfect for explosive efforts on the tarmac. Hollow titanium rails make the Toupé Expert feather-light. If you're looking for the same saddle build and design with tough Cr-Mo rails| check out the Toupé Comp."|"Actual weights:  130mm - 239 grams 143mm - 245 grams 155mm - 252 grams  Lab tested Patented Body Geometry design Carbon-reinforced shell with flexible Adaptive Edge technology Lightweight polyurethane foam with gel inserts Hollow titanium rails Tough| water resistant Micromatrix cover Specialized product # 27116-330"
"1521172055-590"|"https://www.abcycling.com/mountain_bike_components.html"|"Bearing Kits & Adapters"|"https://www.abcycling.com/Bearing_Kits__Adapters/catpage-MTCTBKA.html"|""|""|"Enduro 6001 Max Cartridge Bearing 12x28x8"|"https://www.abcycling.com/Enduro_6001_Max_Cartridge_Bearing_12x28x8/descpage-1122248.html"|"Enduro 6001 Max Cartridge Bearing 12x28x8"|"5.99"|"The Abec 3 Enduro 6001 Max Cartridge Bearing is labyrinth sealed with two NBR 70 full-contact| medium-high friction seals| which ride in a groove machined into the bearing. Combined with marine grease| this seal creates an almost impenetrable barrier to contamination. High precision| Grade 10 chromium steel balls are within 10/1|000|000″ round| twice as round as the industry standard. These precision balls ride in a 52100 high carbon chromium alloy race| hardened to R-62 to make them extremely tough and durable. Mirror finish polishing of the races creates ABEC-3 precision and noiseless movement.  When replacing a bearing| measure the inner diameter (ID)| outer diameter (OD)| and width (W) to determine compatibility.  Since Max bearings carry more balls while eliminating the retainer| they do not spin as smoothly as retainer bearings| but have a higher load capacity. Thus they are often used in suspension pivots."|"Actual weight 20 grams Static capacity 500 pounds 12 x 28 x 8 (ID x OD x W) Grade 10 Chromium Steel Balls CRC marine grease 52100 High Carbon Chromium Alloy Races No Retainer for a higher load capacity Two NBR 70 rubber seals with full contact type seal"
"1521171406-325"|"https://www.abcycling.com/mountain_bike_components.html"|"Hubs & Conversions"|"https://www.abcycling.com/Mountain_Bike_Hubs__Conversions/catpage-MCH.html"|""|""|"Chris King ISO Rear Mountain Hub 32H"|"https://www.abcycling.com/Chris_King_ISO_Rear_Mountain_Hub_32H/descpage-CKISORH.html"|"Chris King ISO Rear Mountain Hub 32H"|"459.99"|"Components made by Chris King are the Rolexes of the bike world. What makes them so famous? In the case of the Chris King Rear Hub| the first thing people notice is the unmistakeable buzzing of the 72 engagement points on King's famous ring drive system in the freehub body. The next thing is the sheer beauty of the anodized machine work| made with the same exacting standards used in the aerospace industry. The quality of materials combined with the precision machining means a stiff rear hub with nearly instantaneous engagement. The hub embodies an unmatched strength to weight ratio that will outlast the competition by years without sacrificing any performance. Wider flanges reduce spoke lengths thereby lending additional stiffness to the wheel build| and in turn the rear triangle of your bike. Easily serviceable angular contact bearings with robust weatherproof seals are made in-house with Chris King precision for seemingly endless rotation. Chris King products are backed up by a 5 year warranty and with proper care will last many years beyond."|"Actual weights  142 x 12 disc - 326 grams  Aluminum shell Aluminum freehub body RingDrive engagement 19.5 mm aluminum axle Axles are convertible with available kits Four bearings RADIAL LACING VOIDS WARRANTY! Five year warranty Made in the USA"
"1521171673-427"|"https://www.abcycling.com/mountain_bike_components.html"|"Grips"|"https://www.abcycling.com/Mountain_Bike_Handlebar_Grips/catpage-MTBCOMPGRIP.html"|""|""|"ODI Elite Series Motion Lock On Grips"|"https://www.abcycling.com/ODI_Elite_Series_Motion_Lock_On_Grips_/descpage-ODIEMOT.html"|"ODI Elite Series Motion Lock On Grips"|"28.99"|"Cheap| easy| and stickier than a bucket full of molasses on a hot summer day| ODI's Elite Series Motion Grips are a great choice for mountain riders of all experience levels. The supple Soft Pro compound and grippy knurl pattern keep your hands firmly in-place through all manner of gnarly bumps and jumps. And ODI's single-clamp 2.1 Lock-On System clamps keep the grips from slipping| sliding| or spinning on your handlebars. ODI molded the Soft Pro rubber with ergonomic ovalized shaping| so your hands will be gripping in comfort even when you're white-knuckling it on the descent. Whether you're an old pro or a trail greenhorn| the Elite Series Motion Grips will be a welcome addition to your bars."|"Actual weight: 98 grams (per pair) 123mm X 30mm (widest point) Ergonomic Offset grip design Diamond knurl pattern Soft pro compound Single-clamp design Reinforced soft ends Made in the USA"
"1521172100-609"|"https://www.abcycling.com/mountain_bike_components.html"|"Bottom Brackets"|"https://www.abcycling.com/Mountain_Bike_Bottom_Brackets/catpage-MTBCOMPBB.html"|""|""|"Shimano BB-MT800 XT Bottom Bracket Press Fit Type"|"https://www.abcycling.com/Shimano_BB-MT800_XT_Bottom_Bracket_Press_Fit_Type/descpage-SHIBBMT800P.html"|"Shimano BB-MT800 XT Bottom Bracket Press Fit Type"|"25.99"|"With the release of the new XT M8000 group| Shimano's also delivered the BB-MT800 XTPress Fit Bottom Bracket to match. Shimano has designed their new bottom brackets (including this one) with smaller ball bearings| which reduces friction and drag| giving you rotational forces that are smoother than a baby's bottom...some might say. The smaller ball bearings also seal better| keeping dirt and debris exactly where they should be: NOT in your bottom bracket. Resin cups make installation easy and are durable for years of service If you want to talk compatibility| this is a press fit bottom bracket that will fit PF92 92 millimeter shells."|"Actual weight: 71 grams For PF92 (92mm wide) shells Fits 24mm Shimano cranks Small ball bearings Lightweight seals Maintenance free One year warranty Shimano part # IBBMT800PA Made in Japan"
"1521171262-266"|"https://www.abcycling.com/mountain_bike_components.html"|"Spokes & Nipples"|"https://www.abcycling.com/Mountain_Bike_Wheel_Spokes__Nipples/catpage-MMCSNI.html"|""|""|"Shimano Spoke Nipple Silver RS 10/20/80A"|"https://www.abcycling.com/Shimano_Spoke_Nipple_Silver_RS_10_20_80A_/descpage-SHRS1020NPL.html"|"Shimano Spoke Nipple Silver RS 10/20/80A"|"1.99"|"OE Shimano nipple for these wheelsets   WH-RS80/RS20/RS10   This 17mm length alloy nipple has 4.0mm wrench flats"|"OE Shimano nipple for these wheelsets  WH-RS80/RS20/RS10  17mm 4.0mm wrench flats Alloy"
"1521171806-483"|"https://www.abcycling.com/mountain_bike_components.html"|"Front Derailleurs"|"https://www.abcycling.com/Mountain_Bike_Front_Derailleurs/catpage-MTBFDER.html"|""|""|"Shimano XT M786 Front Derailleur TP/DP Direct Mount"|"https://www.abcycling.com/Shimano_XT_M786_Front_Derailleur_TP_DP_Direct_Mount/descpage-SHRDM770LI.html"|"Shimano XT M786 Front Derailleur TP/DP Direct Mount"|"33.99"|"The front derailleur never gets much attention—except for when it doesn't work like its supposed to. Thankfully| Shimano has had 30 years to perfect their design—yes| you did in fact read that correctly. Thirty years is quite a stretch| but Shimano isn't a company known for resting on its laurels| a trait which shows in the performance of all of their products. The Shimano XT M786 Front Derailleur is no exception| offering crisp front shifts day in and day out. In the rare case you do find it needs adjusting| the XT M786 Front Derailleur sports angled limit screws to make adjustments easy on you. This Shimano XT M786 Front Derailleur is compatible with 10-speed| double chainring setups on frames utilizing a high direct front derailleur mount."|"Actual weight: 137 grams Dyna-Sys 2x10 Front Derailleur Down swing construction Shimano Direct mounting style Top or down pull 10-speed compatible Two year warranty Made in Japan Shimano part # IFDM786D6LA"
"1521171682-430"|"https://www.abcycling.com/mountain_bike_components.html"|"Grips"|"https://www.abcycling.com/Mountain_Bike_Handlebar_Grips/catpage-MTBCOMPGRIP.html"|""|""|"ODI Aaron Gwin AG-2 Lock On Grips Bonus Pack"|"https://www.abcycling.com/ODI_Aaron_Gwin_AG-2_Lock_On_Grips_Bonus_Pack/descpage-ODAG2.html"|"ODI Aaron Gwin AG-2 Lock On Grips Bonus Pack"|"34.99"|"Aaron Gwinn knows how to control his bike| and at the most critical interface between rider and machine| he uses ODI Lock-On Grips. ODI and Gwin have continued their partnership to create the Aaron Gwin AG-2 Lock-On Grip. The ODI AG-2 grips use an angled rib pattern with a slightly harder compound—compared to the softer file surface—designed to match the articulation points of your hands. Aluminum-reinforced ends provide extra durability against grip blowout. Not to mention the signature AG-2 grips have an attacking eagle and come in a variety of color combinations to choose from."|"Actual weight: 106 grams 30 mm diameter Total length 135 mm  Grip surface 122 mm long  Aluminum reinforced ends Multi-layer grip pattern Soft main surface for grip and damping Harder angled ribs for traction Lock-on clamp system"
"1521171524-367"|"https://www.abcycling.com/mountain_bike_components.html"|"Handlebars"|"https://www.abcycling.com/Mountain_Bike_Handlebars_-_XC_Freeride_Downhill/catpage-MTNBARS.html"|""|""|"Deity Skyline 787 Handlebar 15mm Rise"|"https://www.abcycling.com/Deity_Skyline_787_Handlebar_15mm_Rise/descpage-DS78715.html"|"Deity Skyline 787 Handlebar 15mm Rise"|"84.99"|"800 millimeters too wide for your needs? Then the Deity Skyline 787 Handlebar is probably just what you want. There are guides to  cut it down even further| so dialing in just the right width for your trail/enduro/light-DH needs is easy. Deity owns all of their tooling| which means the Skylines| and all of Deity's other components| are made| tested| refined| and  perfected in house—these aren't some out-of-the-catalog component with Deity's graphics.  Get the style| strength| and light weight performance needed for today's aggressive trail riding from the Deity Skyline 31.8  handlebar."|"Actual Weight: 319 grams Clamp Diameter: 31.8 mm Width: 787 mm Rise: 15 mm Upsweep: 5 degrees Backsweep: 9 degrees Material: Gradient butted 7075 T73 aluminum Warranty: Lifetime crash replacement plan"
"1521171909-527"|"https://www.abcycling.com/mountain_bike_components.html"|"Chain Guides"|"https://www.abcycling.com/Mountain_Bike_Chain_Guides/catpage-MTBCOMPCG.html"|""|""|"MRP 1X Alloy Chainguide Black BB Mount 26-38t"|"https://www.abcycling.com/MRP_1X_Alloy_Chainguide_Black_BB_Mount_26-38t/descpage-MRP1XBB.html"|"MRP 1X Alloy Chainguide Black BB Mount 26-38t"|"65.75"|"Today's 1x drivetrains| as incredible as they are| fail and drop chains on occasion. Chainguides| however| don't fail and with that| neither do you. Whether you're racing or simply enjoying a jaunt around the hill| MRP's 1x Chainguide is there to stand guard. Maintaining your chain is big business these days. Whether you're looking to run a BB mounted guide in hopes of getting the lightest MRP Guide available| or simply don't have ISCG tabs| the 1x Alloy Chainguide delivers. This model accomodates 26-38 tooth chainrings| meaning that unless you're anybody but Mark Weir or Carl Decker| you're covered. Utilizing tracking| grooving| and co-molding for the upper portion of this guide| this chainguide will install easily| be incredibly stiff| and best of all be incredibly quiet thanks to the softer durometer interior. Nobody likes getting caught with their pants down| and nobody likes dropped chains. End the spell without adding the weight."|"Actual weight: 46 grams Fits 26-38T chainrings Tracked and grooved upper  Increased stiffness Easy installation  Co-molded ""TR"" upper features softer rubber  Quiet running  Lightweight Compatible ONLY with threaded BB systems MRP part # 20-9-130"
"1521171800-480"|"https://www.abcycling.com/mountain_bike_components.html"|"Front Derailleurs"|"https://www.abcycling.com/Mountain_Bike_Front_Derailleurs/catpage-MTBFDER.html"|""|""|"Shimano XTR Di2 9050/9070 FD Adapter Low Clamp Band"|"https://www.abcycling.com/Shimano_XTR_Di2_9050_9070_FD_Adapter_Low_Clamp_Band/descpage-SHISMFD905L.html"|"Shimano XTR Di2 9050/9070 FD Adapter Low Clamp Band"|"17.99"|"Shimano's Di2 XTR front derailleur provides powerful| effortless shifting that you don't even have to think about! Syncro Shift| when activated| allows the system to determine the most efficient gear and shift the front derailleur accordingly—when you shift the rear derailleur! When purchasing the Di2 XTR FD| be sure to also get the correct adapter mount for your frame| as the derailleur is sold as a body only. This is a low mount band clamp| attaching to the frame below the top of the derailleur| for bikes without direct-mount bosses."|"null"
"1521171622-406"|"https://www.abcycling.com/mountain_bike_components.html"|"Grips"|"https://www.abcycling.com/Mountain_Bike_Handlebar_Grips/catpage-MTBCOMPGRIP.html"|""|""|"Renthal Traction Lock-On Grips Soft Grey"|"https://www.abcycling.com/Renthal_Traction_Lock-On_Grips_Soft_Grey/descpage-RTRLOGS.html"|"Renthal Traction Lock-On Grips Soft Grey"|"24.99"|"Renthal Traction Soft Grey Lock-On Grips use Renthal's advanced technology soft compound| scoring high on tackiness| comfort| and control. This is Renthal's best grip for riders who want equal amounts of shock absorption| stickiness| and control. There's no beating the ease of installation and 100% slip-proof performance lock-on grips offer. The only downside to lock-on grips is the added weight of the collars and core| which is negligible| and most riders are only too happy to trade a few grams for the upside of rock solid grips. Nevertheless| Renthal removes weight from their lock-on's by removing excess material from both the aluminum collars and the plastic core.  Renthal's Soft grips are their most balanced grips| scoring high marks everywhere| but are a little less durable than their Firm| Medium| and Kevlar compounds."|"Actual weight 106 grams 30 mm grip diameter 129 mm width (end-of-lockring to end-of-lockring) Soft compound  High tackiness| comfort| and control  Non-removeable collars for 100% slip-proof performance Unmatched ease of installation and removal Made in Great Britain"
"1521171165-225"|"https://www.abcycling.com/mountain_bike_components.html"|"Saddles"|"https://www.abcycling.com/Mountain_Bike_Saddles/catpage-MTBCOMPSAD.html"|""|""|"Specialized Romin Evo Comp Gel Saddle"|"https://www.abcycling.com/Specialized_Romin_Evo_Comp_Gel_Saddle/descpage-SBREVCG.html"|"Specialized Romin Evo Comp Gel Saddle"|"99.99"|"Made for maintaining an aggressive position long enough to win races| the Specialized Romin Evo Comp Gel Saddle brings both efficiency and comfort to your riding. Specialized's renowned Body Geometry concept has been put to use to create a platform to support aggressive rider positioning while providing pressure relief to critical arteries and nerves.  A pressure-relief channel runs the length of the saddle| helping to maintain rider comfort no matter where seated. Also promoting comfort is the carbon-impregnated matrix shell| which is topped with ""Level Two"" padding. This thin layer of polyurethane foam is appropriate for cyclists who have put the miles in| and don't need a bulky| heavy foam layer for comfort. Gel inserts are part of the comfort equation by damping vibrations and shocks picked up from the road surface.  The comp version of the Romin Evo Gel has durable steel rails to add value without excessive grams. Tough Micromatrix material wraps up the entire assemblage for long-lasting| waterproof coverage."|"Weight:  Size 143mm - 276 grams (actual) Size 155mm - 285 grams (claimed) Size 168mm - 283 grams (actual)  Patented Body Geometry design is lab tested to assure blood flow to sensitive arteries Stiff| carbon-reinforced shell PU foam with gel inserts Super-durable| hollow Cr-Mo rails Tough| lightweight| water-resistant Micromatrix cover SWAT compatible mounts molded into the saddle base NOTE: 1cm shorter than 2015 model"
"1521171999-563"|"https://www.abcycling.com/mountain_bike_components.html"|"Bearing Kits & Adapters"|"https://www.abcycling.com/Bearing_Kits__Adapters/catpage-MTCTBKA.html"|""|""|"Enduro Santa Cruz Suspension Pivot Bearing Kit"|"https://www.abcycling.com/Enduro_Santa_Cruz_Suspension_Pivot_Bearing_Kit/descpage-EBSCTBBK.html"|"Enduro Santa Cruz Suspension Pivot Bearing Kit"|"78.99"|"Endow your Santa Cruz with smoother suspension that will stay that way longer with an Enduro Santa Cruz  Suspension Pivot Bearing Kit. Included in the kit are bearings for the upper and lower links between the front and rear triangles of the following Santa Cruz bikes:  Blur LT2 Tallboy 1 aluminum Tallboy LTc carbon Tallboy LTa aluminum Bronson (all models) 5010  You'll probably need the proper bearing tools| if you don't have them already."|"For Santa Cruz Blur LT2; Tallboy 1 AL| LTc| LTa| Bronson and 5010 Eight Enduro Angular Contact Max bearings 35%-40% higher load capacity than standard cartridge bearings Packed with waterproof grease Enduro part # BK-5538"
"1521171302-284"|"https://www.abcycling.com/mountain_bike_components.html"|"Hubs & Conversions"|"https://www.abcycling.com/Mountain_Bike_Hubs__Conversions/catpage-MCH.html"|""|""|"Wolf Tooth Boostinator Front Industry Nine Torch Hub"|"https://www.abcycling.com/Wolf_Tooth_Boostinator_Front_Industry_Nine_Torch_Hub/descpage-WTBFI9.html"|"Wolf Tooth Boostinator Front Industry Nine Torch Hub"|"23.70"|"Your new fork has boost spacing| but your wheels are standard| and they are I9's| so no reason to get new ones... what to do? Here's what to do! Pop a Wolf Tooth Front Industry Nine Boostinator on your Torch hub! This will adapt 15x100 mm Industry Nine Torch front hubs to fit 15x110 mm Boost forks. Pull the old end cap off| pop the new one on| re-dish the wheel| and ride."|"Actual weight: 17 grams CNC machined 6061 aluminum Adapts 15x100 mm Industry Nine hubs to fit 15x110 mm Boost forks Maintains disc rotor location Requires re-dishing wheel Made in the USA Wolf Tooth part # BST-9TF"
"1521171353-305"|"https://www.abcycling.com/mountain_bike_components.html"|"Hubs & Conversions"|"https://www.abcycling.com/Mountain_Bike_Hubs__Conversions/catpage-MCH.html"|""|""|"Industry Nine Torch Classic Mountain Rear Hub 32H"|"https://www.abcycling.com/Industry_Nine_Torch_Classic_Mountain_Rear_Hub_32H/descpage-I9TCMR.html"|"Industry Nine Torch Classic Mountain Rear Hub 32H"|"384.99"|"When building up the ultimate custom wheelset| your choice of hubs has| in the past| been moot—Chris King or go home. However| the home of the hub of choice may have shifted to the East Coast as North Carolina-based Industry Nine releases the latest version of their Industry Nine Torch Classic Mountain Rear Hub. Featuring I9's dazzling 120-point| three degree engagement system utilizing six pawls| this hub redefines the term instantaneous forward motion. Everything| excluding the bearings| is machined in-house in the USA. 7075 aluminum billet makes up the hub shell| and the drive ring and associated bits are cut from nearly-indestructible industrial grade steel. The Classic rear hub's alloy shell features flanges compatible with traditional J-bend spokes—hence the ""Classic"" tag—rather than I9's proprietary aluminum ""direct-mount"" alloy spokes| which utilize a different shell with threaded flanges. Four sealed Enduro cartridge bearings support the rigid 17 millimeter oversized axle| providing enough stiffness to withstand all the bar-dragging turns you can muster. Although this hub comes with press-fit endcaps for a 12 x 142 millimeter through axle| endcaps are available for old-style 10 x 135 quick release| and 12 x 135 through axles also. If you plan to upgrade to an eleven speed system requiring an xx1 driver body freehub| the Torch classic is retrofittable with an available I9-built driver."|"Actual weight: 285 grams 12x142 end caps included  Press fit QR| 10x135| 12x135 end caps available  32 hole 6-bolt rotor compatible 10 speed freehub body  XX1 driver available  120 point| three-degree engagement Four sealed bearings 17mm oversized axle Uses traditional J-bend spokes Three year warranty| one year on bearings Made in the USA"
"1521171997-562"|"https://www.abcycling.com/mountain_bike_components.html"|"Bearing Kits & Adapters"|"https://www.abcycling.com/Bearing_Kits__Adapters/catpage-MTCTBKA.html"|""|""|"Shimano Ball Bearing Retainer 3/16"" B-Type HB-7800"|"https://www.abcycling.com/Shimano_Ball_Bearing_Retainer_3_16_B-Type_HB-7800/descpage-Y25R98080.html"|"Shimano Ball Bearing Retainer 3/16"" B-Type HB-7800"|"5.99"|"Shimano Ball Bearing Retainer and 3/16"" Balls for 7800-series rear hubs."|"3/16"" balls Metal retainer For Shimano 7800-series rear hubs Made in Japan Shimano part # Y25R98080"
"1521171859-506"|"https://www.abcycling.com/mountain_bike_components.html"|"Cranksets"|"https://www.abcycling.com/Mountain_Bike_Cranks/catpage-MTBCOMPCK.html"|""|""|"Shimano SLX M7000 Crank Arm Set"|"https://www.abcycling.com/Shimano_SLX_M7000_Crank_Arm_Set/descpage-SHCA700.html"|"Shimano SLX M7000 Crank Arm Set"|"79.99"|"Proven Hollowtech II construction makes the Shimano SLX M7000 Crank Arm Set light| durable| and stiff enough to withstand punishing trail and all-mountain abuse. Stiff to transfer all of your energy into forward movement| light to maximize| and dialed-in for one-by drivetrains| the M7000 cranks redefine what's expected of a ""budget"" component. Indeed| the entire M7000 group ups the ante| making this the perfect time to get the most bang for your upgrade buck. Match an M7000 chainring to the SLX cranks| and enjoy top-level chain retention and stiffness| without maxing out your wallet.  Backed up by Shimano's irrefutable reserach and development| the SLX M7000 crankset is ready to take you there and back| and guarantee your fun the whole time. Despite the image| the M7000 crank arm set does not come with a chainring or bottom bracket. Two crank arms| one with a Hollowtech II spindle attached| are what you will receive."|"Actual weight: 612 grams Hollowtech II 96 mm BCD One-by drivetrain-specific Does not include chainring Does not include bottom bracket Includes two crank arms and spindle Two year warranty Made in Japan Shimano part # IFCM7000"
"1521171972-551"|"https://www.abcycling.com/mountain_bike_components.html"|"Brakes"|"https://www.abcycling.com/Mountain_Bike_Brakes/catpage-MTBCOMPBRK.html"|""|""|"SRAM Code R Disc Brake Rear Right 1800mm Hose A1"|"https://www.abcycling.com/SRAM_Code_R_Disc_Brake_Rear_Right_1800mm_Hose_A1/descpage-CODERR.html"|"SRAM Code R Disc Brake Rear Right 1800mm Hose A1"|"154.00"|"Similar in design to the successful Guide platform| but adapted to the demands of downhill racing| the SRAM Code R Disc Brake is optimized for maximum stopping power on long descents and at high speeds. The Code lever body's noticeably bigger profile houses an expandable bladder| holding 30% more fluid than the Guide and almost 50% than the previous Code. This increased volume makes for great consistency in the brake's performance from the top of the run to the bottom. It's no secret that Avid brakes were are a bit of a chore to bleed. Props to SRAM for recognizing this| and abandoning the old design in favor of Timing Port Closure and Bleeding Edge technologies. With TPC| the Code brakes maintain a consistent level of high performance| without requiring maintenance| for much longer intervals than Avid brakes. The Code's improvements are not all about less frequent bleeds| however. With silent Centerline rotors (sold separately)| more usable braking power| and tons of grab deep into the lever throw are also hallmarks of the Code brake. While the Codes have more of an on-off feel than the Guide brakes| SRAM's Direct Link lever control infrastructure creates a light touch as soon as the lever is engaged and all the way through the stroke for fatigue-free control and good modulation."|"Actual weight: 316 grams (caliper| hose| lever) Pistons: 4 Adjustability: Reach| pad contact Materials: Alloy lever| 2-piece alloy caliper Caliper mount: Post Shifter/peripheral mount: Matchmaker and MMX Hose length: 1800 mm Fluid: DOT 5.1 Included: T30 wrench| compression bushing| threaded barb| hose guide| caliper mounting bolts Part #: 00.5018.110.001 Warranty: Two year"
"1521171905-525"|"https://www.abcycling.com/mountain_bike_components.html"|"Chain Guides"|"https://www.abcycling.com/Mountain_Bike_Chain_Guides/catpage-MTBCOMPCG.html"|""|""|"MRP 1X Alloy Chainguide Black ISCG-05 26-38t"|"https://www.abcycling.com/MRP_1X_Alloy_Chainguide_Black_ISCG-05_26-38t/descpage-MRP1XISCG05.html"|"MRP 1X Alloy Chainguide Black ISCG-05 26-38t"|"65.75"|"Today's 1x drivetrains| as incredible as they are| fail and drop chains on occasion. Chainguides| however| don't fail and with that| neither do you. Whether you're racing or simply enjoying a jaunt around the hill| MRP's 1x Chainguide is there to stand guard. Maintaining your chain is big business these days. Complete with ISCG-05 tabs (the modern day standard)| this beauty should fit just about any mountain bike that you can throw at it. This model accomodates 26-38 tooth chainrings| so unless you're anybody but Mark Weir or Carl Decker| you're more than covered. Utilizing tracking| grooving| and co-molding for the upper portion of this guide| this chainguide will install easily| be incredibly stiff| and best of all be incredibly quiet thanks to the softer durometer interior. Nobody likes getting caught with their pants down| and nobody likes dropped chains. End the spell without adding the weight."|"Actual weight: 46 grams  Hardware/spacers add 15 grams  Fits 26-38T chainrings Tracked and grooved upper  Increased stiffness Easy installation  Co-molded ""TR"" upper features softer rubber  Quiet running  Lightweight Compatible ONLY with ISCG 05 mounting systems MRP part # 20-9-260"
"1521170884-103"|"https://www.abcycling.com/mountain_bike_components.html"|"Clearance Components"|"https://www.abcycling.com/Clearance_Mountain_Bike_Components/catpage-SALETILEMT6.html"|""|""|"Magura MT Trail Carbon Disc Brake Set"|"https://www.abcycling.com/Magura_MT_Trail_Carbon_Disc_Brake_Set/descpage-MGMTNTC.html"|"Magura MT Trail Carbon Disc Brake Set"|"379.88"|"Magura's MT Trail Carbon Disc Brake Set smartly mates a powerful four-piston front caliper with a two-piston rear. This combination puts more power where it's needed—up front—and saves weight where possible—out back. For riders who pride themselves on their braking technique| modulation and fine control are enhanced by the asymmetrical caliper set up of the Magura Trails. Basically a miniaturized version of their Supermoto Brake| the Trail's front four piston caliper is the same that comes on the Magura MT7. Make no mistake| these are not XC brakes| weighing approximately 70 grams more than the dual-piston calipers. However| they will allow you to rail all your favorite enduro tracks with confidence to spare. Initial inspection reveals that| unlike most four-piston MTB brakes| these use four pads per brake. This allows a third reinforcement arch to span the middle of the caliper| adding stiffness without hindering pad replacement in the least. Also| using four distinct pads increases clamping force and allows for better heat management. Since the separate front pads absorb more heat| the trailing pads are more effective than a typical two-pad set-up.  With a big ol' front caliper| Magura looks to make up weight elsewhere| and thus specced lever bodies similar to the MT8s. The weight savings begin at the carbon fiber lever| which shares ergonomics with Magura's old Marta lever blade—wide and flat against your finger—or old Hayes Mags. Instead of an aluminum or magnesium master cylinder body| Magura's Carbotecture—a carbon thermoplastic composite—allows precise construction for minimal mass. Additionally| the lever body is flippable| with a bleed port on each side| for right or left compatibility."|"Actual weight: 464 grams (front and rear calipers| hoses| levers) Pistons: 4 front| 2 rear Adjustability: Reach Materials: Carbolay lever| Carbotexture body| alloy one-piece calipers Caliper mount: Post Shifter/peripheral mount: Bar only Hose length: 850| 1945 mm Fluid: Magura Royal Blood Medium Included: Compression bushings| threaded barbs| caliper mounting bolts Part #: 2701213 Warranty: One year"
"1521171119-204"|"https://www.abcycling.com/mountain_bike_components.html"|"Saddles"|"https://www.abcycling.com/Mountain_Bike_Saddles/catpage-MTBCOMPSAD.html"|""|""|"Terry Butterfly Ti-Gel Saddle"|"https://www.abcycling.com/Terry_Butterfly_Ti-Gel_Saddle/descpage-TERFTGS.html"|"Terry Butterfly Ti-Gel Saddle"|"147.99"|"'Women's specific' is more than a term or a bunch of mumbo jumbo. It's a saddle brought to you by the Terry Butterfly Ti-Gel Saddle. Here's the skinny: wider in the rear of the saddle for good support of women's (wider) sit bones| complete cutaway design all the way to the nose| and multi-density injection molded foam. Using stiffer foam in the rear helps to deliver more power to the bike while pedaling. Utilizing what Terry calls 'Ti-nox' rails| you can ride assured of the fact that these saddle rails are both light and incredibly strong. Very similar to the Butterfly Ti saddle| this Ti-Gel version has added a small| thin| effective layer of gel right below the leather top to give you that extra bit of comfort. One of the lovely features of this saddle is the textured leather surface that will gain character as the miles pile on. On top of looking snazzy| the textured surface also offers a little bit of grip to keep you in your best pedaling position. You no longer need to wait around for your knight in shining armor...Terry's Butterfly Ti Saddle is here to save you."|"Actual weight 257 grams 262 x 155 mm Ti-nox rails Solid black| textured leather top Wide cutaway Made in Italy Terry Part #21052"
